model_date,timestamp,state_abb,party,variable,metric,value
28/08/2024,2024-08-28T16:32:11Z,SC,DEM,state vote,p_win,0.0897
28/08/2024,2024-08-28T16:32:11Z,RI,REP,state vote,p_win,0.0129
28/08/2024,2024-08-28T16:32:11Z,RI,DEM,state vote,p_win,0.9871
28/08/2024,2024-08-28T16:32:11Z,PA,REP,state vote,p_win,0.4438
28/08/2024,2024-08-28T16:32:11Z,PA,DEM,state vote,p_win,0.5562
28/08/2024,2024-08-28T16:32:11Z,OR,REP,state vote,p_win,0.0488
28/08/2024,2024-08-28T16:32:11Z,OR,DEM,state vote,p_win,0.9513
28/08/2024,2024-08-28T16:32:11Z,OK,REP,state vote,p_win,0.9998
28/08/2024,2024-08-28T16:32:11Z,OK,DEM,state vote,p_win,2.00E-04
28/08/2024,2024-08-28T16:32:11Z,OH,REP,state vote,p_win,0.8268
28/08/2024,2024-08-28T16:32:11Z,OH,DEM,state vote,p_win,0.1732
28/08/2024,2024-08-28T16:32:11Z,NY,REP,state vote,p_win,0.0119
28/08/2024,2024-08-28T16:32:11Z,NY,DEM,state vote,p_win,0.9881
28/08/2024,2024-08-28T16:32:11Z,NV,REP,state vote,p_win,0.4499
28/08/2024,2024-08-28T16:32:11Z,NV,DEM,state vote,p_win,0.5501
28/08/2024,2024-08-28T16:32:11Z,NM,REP,state vote,p_win,0.1321
28/08/2024,2024-08-28T16:32:11Z,NM,DEM,state vote,p_win,0.868
28/08/2024,2024-08-28T16:32:11Z,NJ,REP,state vote,p_win,0.0449
28/08/2024,2024-08-28T16:32:11Z,NJ,DEM,state vote,p_win,0.9551
28/08/2024,2024-08-28T16:32:11Z,NH,REP,state vote,p_win,0.2321
28/08/2024,2024-08-28T16:32:11Z,NH,DEM,state vote,p_win,0.7679
28/08/2024,2024-08-28T16:32:11Z,NE-03,REP,state vote,p_win,1
28/08/2024,2024-08-28T16:32:11Z,NE-03,DEM,state vote,p_win,0
28/08/2024,2024-08-28T16:32:11Z,NE-02,REP,state vote,p_win,0.2599
28/08/2024,2024-08-28T16:32:11Z,NE-02,DEM,state vote,p_win,0.7401
28/08/2024,2024-08-28T16:32:11Z,NE-01,REP,state vote,p_win,0.9572
28/08/2024,2024-08-28T16:32:11Z,NE-01,DEM,state vote,p_win,0.0428
28/08/2024,2024-08-28T16:32:11Z,NE,REP,state vote,p_win,0.9831
28/08/2024,2024-08-28T16:32:11Z,NE,DEM,state vote,p_win,0.0169
28/08/2024,2024-08-28T16:32:11Z,ND,REP,state vote,p_win,0.9997
28/08/2024,2024-08-28T16:32:11Z,ND,DEM,state vote,p_win,3.00E-04
28/08/2024,2024-08-28T16:32:11Z,NC,REP,state vote,p_win,0.5302
28/08/2024,2024-08-28T16:32:11Z,NC,DEM,state vote,p_win,0.4698
28/08/2024,2024-08-28T16:32:11Z,MT,REP,state vote,p_win,0.9617
28/08/2024,2024-08-28T16:32:11Z,MT,DEM,state vote,p_win,0.0383
28/08/2024,2024-08-28T16:32:11Z,MS,REP,state vote,p_win,0.967
28/08/2024,2024-08-28T16:32:11Z,MS,DEM,state vote,p_win,0.033
28/08/2024,2024-08-28T16:32:11Z,MO,REP,state vote,p_win,0.9617
28/08/2024,2024-08-28T16:32:11Z,MO,DEM,state vote,p_win,0.0383
28/08/2024,2024-08-28T16:32:11Z,MN,REP,state vote,p_win,0.1915
28/08/2024,2024-08-28T16:32:11Z,MN,DEM,state vote,p_win,0.8085
28/08/2024,2024-08-28T16:32:11Z,MI,REP,state vote,p_win,0.3767
28/08/2024,2024-08-28T16:32:11Z,MI,DEM,state vote,p_win,0.6233
28/08/2024,2024-08-28T16:32:11Z,ME-02,REP,state vote,p_win,0.763
28/08/2024,2024-08-28T16:32:11Z,ME-02,DEM,state vote,p_win,0.237
28/08/2024,2024-08-28T16:32:11Z,ME-01,REP,state vote,p_win,0.0075
28/08/2024,2024-08-28T16:32:11Z,ME-01,DEM,state vote,p_win,0.9925
28/08/2024,2024-08-28T16:32:11Z,ME,REP,state vote,p_win,0.1461
28/08/2024,2024-08-28T16:32:11Z,ME,DEM,state vote,p_win,0.8539
28/08/2024,2024-08-28T16:32:11Z,MD,REP,state vote,p_win,7.00E-04
28/08/2024,2024-08-28T16:32:11Z,MD,DEM,state vote,p_win,0.9993
28/08/2024,2024-08-28T16:32:11Z,MA,REP,state vote,p_win,0.06%
28/08/2024,2024-08-28T16:32:11Z,MA,DEM,state vote,p_win,99.94%
28/08/2024,2024-08-28T16:32:11Z,LA,REP,state vote,p_win,0.9814
28/08/2024,2024-08-28T16:32:11Z,LA,DEM,state vote,p_win,0.0186
28/08/2024,2024-08-28T16:32:11Z,KY,REP,state vote,p_win,0.9977
28/08/2024,2024-08-28T16:32:11Z,KY,DEM,state vote,p_win,0.0023
28/08/2024,2024-08-28T16:32:11Z,KS,REP,state vote,p_win,0.954
28/08/2024,2024-08-28T16:32:11Z,KS,DEM,state vote,p_win,0.046
28/08/2024,2024-08-28T16:32:11Z,IN,REP,state vote,p_win,0.9666
28/08/2024,2024-08-28T16:32:11Z,IN,DEM,state vote,p_win,0.0334
28/08/2024,2024-08-28T16:32:11Z,IL,REP,state vote,p_win,0.0354
28/08/2024,2024-08-28T16:32:11Z,IL,DEM,state vote,p_win,0.9646
28/08/2024,2024-08-28T16:32:11Z,ID,REP,state vote,p_win,0.9993
28/08/2024,2024-08-28T16:32:11Z,ID,DEM,state vote,p_win,7.00E-04
